                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0997,                 1.0343,                 1.1907,                0.72219,                0.66712,                0.71428,                  0.471,                  1.302,                 1.1381,                 1.2537,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1321,                0.96209,                 1.1976,                0.67299,                0.69381,                0.71647,                0.46855,                 1.3139,                 1.1112,                  1.261,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0777,                0.97538,                 1.1609,                0.70204,                0.64956,                0.69129,                0.44224,                  1.349,                 1.1842,                 1.2714,              0.0010729,              0.0010729,              0.0010729
                     38,                  1.077,                0.98292,                 1.1736,                0.64129,                0.66215,                0.67651,                0.43766,                 1.3571,                  1.191,                 1.2884,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0967,                0.97166,                 1.1696,                0.76649,                0.64638,                0.72819,                0.47701,                 1.3127,                 1.0756,                 1.2589,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0816,                0.98608,                 1.1927,                0.64232,                0.67674,                0.70675,                0.46344,                 1.3137,                 1.1126,                 1.2789,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0731,                0.94616,                 1.1785,                0.77026,                0.66217,                0.75573,                0.50799,                 1.2514,                 1.0246,                   1.21,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0474,                0.92722,                 1.1583,                0.68026,                0.66471,                0.70121,                0.47294,                 1.2887,                 1.1103,                 1.2615,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0398,                0.92573,                 1.1517,                0.65872,                0.66857,                0.71149,                0.47162,                 1.2765,                 1.0915,                 1.2409,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0655,                0.93449,                 1.1639,                0.67254,                0.65541,                0.69886,                0.46784,                 1.2875,                 1.1129,                 1.2629,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.0601,                0.93697,                 1.1659,                0.68474,                0.67915,                0.70228,                0.46184,                 1.2997,                 1.1459,                 1.2392,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0637,                0.93754,                 1.1591,                0.67194,                 0.7126,                0.70034,                0.45753,                 1.2824,                 1.0981,                 1.2464,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0387,                0.91437,                 1.1443,                0.65994,                0.63344,                0.68026,                0.45621,                 1.2475,                   1.14,                  1.231,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0475,                0.92845,                  1.128,                0.78212,                 0.6299,                0.74084,                0.50557,                 1.2377,                 1.0046,                 1.2217,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0341,                0.91503,                  1.145,                0.69485,                 0.6629,                0.70449,                0.47763,                 1.2746,                 1.0697,                 1.2423,             0.00087484,             0.00087484,             0.00087484
                     50,                  1.049,                  0.917,                 1.1624,                0.65176,                0.63789,                0.65923,                0.45592,                 1.2664,                  1.191,                 1.2682,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0345,                0.89913,                 1.1436,                0.68129,                0.61283,                 0.6511,                0.44041,                 1.3001,                 1.2443,                 1.2714,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0239,                0.86262,                 1.1366,                0.71293,                 0.6644,                0.71498,                0.48188,                 1.2555,                 1.0656,                 1.2373,             0.00082533,             0.00082533,             0.00082533
                     53,                0.97786,                0.84503,                  1.121,                0.72961,                0.63176,                0.69486,                 0.4584,                 1.2611,                  1.126,                 1.2797,             0.00080883,             0.00080883,             0.00080883
                     54,                 0.9989,                0.86842,                 1.1255,                0.75977,                0.67493,                0.73294,                0.49463,                 1.2442,                  1.017,                 1.2295,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0079,                0.86645,                 1.1287,                0.68993,                 0.6117,                0.67474,                0.45903,                 1.2738,                 1.1969,                 1.2486,             0.00077582,             0.00077582,             0.00077582
                     56,                0.98467,                0.85687,                 1.1209,                0.74934,                 0.6628,                0.74428,                0.50028,                 1.2131,                 1.0046,                 1.1942,             0.00075932,             0.00075932,             0.00075932
                     57,                0.98346,                0.83493,                 1.1217,                0.67843,                0.68169,                0.70997,                0.49042,                 1.2267,                 1.0671,                 1.2204,             0.00074282,             0.00074282,             0.00074282
                     58,                0.98077,                 0.8343,                 1.1128,                0.70096,                0.68791,                0.73861,                0.50662,                 1.2158,                 1.0375,                 1.1972,             0.00072631,             0.00072631,             0.00072631
                     59,                0.99758,                0.84015,                 1.1281,                0.76244,                0.65291,                0.75011,                0.51672,                 1.2259,                 1.0538,                 1.2085,             0.00070981,             0.00070981,             0.00070981
                     60,                0.96991,                 0.8352,                 1.1273,                0.71498,                0.66571,                0.72688,                0.49222,                 1.2487,                 1.0508,                 1.2195,             0.00069331,             0.00069331,             0.00069331
                     61,                  0.984,                0.82543,                 1.1092,                0.71317,                0.65667,                 0.7084,                0.47982,                 1.2326,                 1.1115,                 1.2107,              0.0006768,              0.0006768,              0.0006768
                     62,                0.96914,                0.80386,                  1.119,                0.72029,                0.64946,                 0.7013,                0.48973,                 1.2455,                 1.0943,                 1.2092,              0.0006603,              0.0006603,              0.0006603
                     63,                0.99761,                0.83504,                 1.1349,                0.69537,                0.66453,                0.70242,                 0.4743,                 1.2823,                 1.0653,                 1.2439,              0.0006438,              0.0006438,              0.0006438
                     64,                0.97451,                0.81801,                 1.1125,                0.68635,                 0.6535,                0.69124,                0.46487,                 1.2646,                 1.0677,                 1.2365,             0.00062729,             0.00062729,             0.00062729
                     65,                0.97504,                0.82059,                 1.1147,                0.70391,                0.67666,                0.71761,                0.48449,                 1.2459,                 1.0454,                 1.2313,             0.00061079,             0.00061079,             0.00061079
                     66,                0.94319,                0.79839,                 1.1068,                0.72471,                0.65519,                 0.7235,                0.49886,                 1.2382,                 1.0415,                  1.225,             0.00059429,             0.00059429,             0.00059429
                     67,                 0.9426,                0.77756,                 1.1047,                0.78192,                0.65689,                0.75013,                0.51198,                 1.2388,                0.99019,                 1.2323,             0.00057778,             0.00057778,             0.00057778
                     68,                0.93611,                 0.8031,                 1.0979,                0.74277,                0.68473,                0.75781,                 0.5176,                 1.2199,                 0.9838,                 1.2114,             0.00056128,             0.00056128,             0.00056128
                     69,                0.92676,                0.76994,                 1.0998,                0.73203,                0.64815,                0.73585,                0.50001,                 1.2449,                 1.0088,                 1.2395,             0.00054478,             0.00054478,             0.00054478
                     70,                0.94806,                0.79237,                 1.1071,                0.68987,                0.65725,                0.71485,                 0.4776,                 1.2498,                 1.0707,                  1.225,             0.00052827,             0.00052827,             0.00052827
                     71,                0.92664,                0.77195,                 1.0987,                0.69838,                0.67431,                0.73078,                 0.5034,                 1.2112,                  1.037,                  1.209,             0.00051177,             0.00051177,             0.00051177
                     72,                0.94061,                 0.7725,                 1.0966,                0.71285,                0.72172,                0.75086,                0.51465,                 1.2124,                0.98727,                 1.1988,             0.00049527,             0.00049527,             0.00049527
                     73,                0.88559,                0.72638,                 1.0864,                0.74719,                0.67084,                0.73226,                0.50278,                 1.2178,                 1.0122,                 1.2147,             0.00047876,             0.00047876,             0.00047876
                     74,                 0.9146,                0.75309,                 1.1037,                0.70403,                0.66527,                0.72603,                0.49199,                 1.2195,                 1.0466,                 1.2055,             0.00046226,             0.00046226,             0.00046226
                     75,                 0.9103,                0.74092,                 1.0856,                0.72601,                 0.6688,                0.73585,                0.49934,                 1.2161,                 1.0288,                 1.2047,             0.00044576,             0.00044576,             0.00044576
                     76,                  0.909,                0.71063,                 1.0847,                 0.7116,                0.66256,                0.72379,                0.49675,                 1.2016,                 1.0451,                 1.2073,             0.00042925,             0.00042925,             0.00042925
                     77,                 0.8815,                0.71979,                 1.0674,                0.75318,                0.63692,                0.72221,                0.49616,                 1.2185,                 1.0252,                 1.2124,             0.00041275,             0.00041275,             0.00041275
                     78,                0.87946,                0.71419,                 1.0739,                0.65777,                0.67688,                0.71706,                0.49719,                 1.1971,                 1.0669,                 1.1978,             0.00039625,             0.00039625,             0.00039625
                     79,                0.88636,                0.72132,                 1.0722,                0.73029,                0.66017,                0.73032,                0.50044,                 1.2082,                 1.0245,                 1.1966,             0.00037974,             0.00037974,             0.00037974
                     80,                0.87767,                0.72355,                 1.0793,                0.67318,                0.67464,                0.70233,                0.48778,                 1.2097,                 1.0812,                 1.2029,             0.00036324,             0.00036324,             0.00036324
                     81,                 0.8854,                0.70958,                 1.0819,                0.67052,                 0.7151,                0.74079,                0.50834,                 1.1866,                0.99913,                 1.1896,             0.00034674,             0.00034674,             0.00034674
                     82,                 0.8762,                0.69347,                 1.0671,                0.70446,                0.67547,                0.73075,                0.51194,                  1.176,                 1.0203,                 1.1795,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.8489,                0.68566,                 1.0563,                0.68794,                0.68871,                0.72249,                0.49661,                 1.2062,                 1.0333,                 1.2142,             0.00031373,             0.00031373,             0.00031373
                     84,                0.87188,                0.68988,                 1.0663,                0.65074,                0.70643,                0.72763,                0.48821,                 1.2138,                 1.0456,                 1.1915,             0.00029723,             0.00029723,             0.00029723
                     85,                0.84927,                0.69865,                  1.062,                0.66802,                  0.684,                0.71291,                0.49321,                 1.2114,                 1.0805,                 1.1967,             0.00028072,             0.00028072,             0.00028072
                     86,                0.83542,                0.66918,                 1.0665,                0.65254,                0.70737,                0.72897,                0.50119,                 1.1972,                 1.0313,                 1.1921,             0.00026422,             0.00026422,             0.00026422
                     87,                0.85353,                0.68134,                 1.0655,                0.68214,                0.71195,                0.73412,                0.50247,                 1.1892,                 1.0403,                 1.1774,             0.00024772,             0.00024772,             0.00024772
                     88,                0.81899,                 0.6373,                  1.048,                 0.7212,                0.64156,                0.70812,                0.48803,                 1.1887,                 1.1081,                 1.1902,             0.00023121,             0.00023121,             0.00023121
                     89,                0.83104,                0.67176,                 1.0496,                0.70952,                0.66204,                0.72499,                0.49974,                 1.1945,                 1.0618,                 1.1969,             0.00021471,             0.00021471,             0.00021471
                     90,                0.81593,                0.63661,                 1.0537,                0.74133,                0.63027,                0.70878,                0.49407,                 1.2275,                 1.0737,                 1.2181,             0.00019821,             0.00019821,             0.00019821
                     91,                 0.7196,                0.52287,                0.96887,                0.68466,                0.70407,                0.72703,                0.49844,                 1.2167,                 1.0225,                 1.2283,              0.0001817,              0.0001817,              0.0001817
                     92,                0.71623,                 0.4994,                0.97903,                0.71008,                0.67416,                0.72836,                0.50343,                 1.1934,                 1.0424,                 1.2053,              0.0001652,              0.0001652,              0.0001652
                     93,                0.69787,                 0.4917,                0.95112,                0.67687,                0.68591,                0.71946,                0.49856,                 1.1862,                 1.0531,                 1.1924,              0.0001487,              0.0001487,              0.0001487
                     94,                0.68676,                0.47337,                0.95086,                0.73176,                0.64349,                0.72212,                0.49414,                 1.2087,                  1.059,                 1.2171,             0.00013219,             0.00013219,             0.00013219
                     95,                0.68641,                 0.4749,                0.95495,                0.70365,                0.64441,                0.70974,                0.49182,                 1.1933,                 1.0773,                 1.2036,             0.00011569,             0.00011569,             0.00011569
                     96,                0.68114,                 0.4768,                0.94416,                0.70957,                0.67056,                0.71997,                0.49833,                 1.1969,                  1.048,                 1.2223,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.66302,                0.46066,                0.94743,                0.70179,                0.67665,                 0.7244,                0.49986,                 1.1866,                 1.0536,                 1.2054,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.65703,                0.44273,                0.92395,                0.72842,                0.65446,                0.72715,                0.49668,                 1.1957,                 1.0641,                 1.2183,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                  0.649,                0.45091,                0.92106,                0.69095,                 0.6835,                0.72329,                0.50194,                 1.1893,                 1.0472,                 1.2132,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.66192,                0.44962,                0.93496,                 0.6922,                0.68371,                0.72597,                0.50363,                 1.1949,                 1.0371,                 1.2138,             3.3173e-05,             3.3173e-05,             3.3173e-05
