                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                   1.02,                 1.4218,                 1.2268,                 1.1527,                0.00129,                0.11111,                 0.0007,                0.00026,                0.00515,                0.16667,                0.16865,                 0.0843,                 3.8912,                    nan,                    inf,                 567.32,             0.00091407,             0.00091407,             0.00091407
                     25,                  1.153,                 1.6351,                 1.2927,                 1.2173,                0.00129,                0.11111,                 0.0007,                0.00026,                0.00515,                0.16667,                0.16865,                 0.0843,                 4.2836,                    nan,                    inf,                 353.02,             0.00094048,             0.00094048,             0.00094048
                     26,                  1.226,                 2.0065,                 1.3056,                 1.3617,                0.00129,                0.11111,                 0.0007,                0.00026,                0.00515,                0.16667,                0.16865,                 0.0843,                 4.2822,                  34088,                    inf,                 387.91,              0.0009659,              0.0009659,              0.0009659
                     27,                 1.2173,                   1.57,                 1.4697,                 1.3555,                0.00129,                0.11111,                 0.0007,                0.00026,                0.00515,                0.16667,                0.16865,                 0.0843,                 4.3882,                 3891.9,                    inf,                 246.15,             0.00099033,             0.00099033,             0.00099033
                     28,                 1.1597,                 1.8998,                 1.2702,                 1.2826,                0.00129,                0.11111,                 0.0007,                0.00026,                0.00515,                0.16667,                0.16865,                 0.0843,                 3.7839,                 4046.3,                    inf,                 128.52,              0.0010138,              0.0010138,              0.0010138
                     29,                  1.309,                 1.5268,                 1.7253,                  1.441,                0.00129,                0.11111,                 0.0007,                0.00026,                0.00515,                0.16667,                0.16865,                 0.0843,                 3.7839,                 4046.3,                    inf,                 128.52,              0.0010362,              0.0010362,              0.0010362
                     30,                 1.1476,                 1.4966,                 1.2888,                 1.2642,                0.00119,                0.05556,                0.00067,                  7e-05,                      0,                      0,                      0,                      0,                 5.2565,                 528.57,                    inf,                 99.954,              0.0010577,              0.0010577,              0.0010577
                     31,                 1.1377,                 1.5188,                 1.3189,                 1.2546,                0.00119,                0.05556,                0.00067,                  7e-05,                      0,                      0,                      0,                      0,                 5.2946,                 284.27,                    inf,                 49.247,              0.0010781,              0.0010781,              0.0010781
                     32,                 1.1508,                  1.582,                 1.3062,                 1.2263,                0.00273,                0.16667,                0.00386,                 0.0005,                      0,                      0,                      0,                      0,                 4.4977,                 104.37,                    inf,                 59.936,              0.0010976,              0.0010976,              0.0010976
                     33,                 1.2028,                 1.6816,                 1.2001,                 1.3183,                0.00273,                0.16667,                0.00386,                 0.0005,                      0,                      0,                      0,                      0,                 4.4977,                 104.37,                    inf,                 59.936,              0.0011161,              0.0011161,              0.0011161
                     34,                 1.1247,                 1.3329,                 1.2376,                 1.2689,                 0.0049,                0.16667,                0.00431,                 0.0006,                      0,                      0,                      0,                      0,                 4.1156,                 317.93,                    inf,                 94.715,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.1441,                  1.577,                 1.2251,                 1.2063,                0.00529,                0.27778,                0.00318,                0.00079,                      0,                      0,                      0,                      0,                 4.1291,                  262.6,                    inf,                  91.14,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1179,                 1.3644,                 1.1209,                 1.2213,                0.02158,                0.44444,                0.18385,                0.10873,                0.02994,                0.33333,                0.18561,                 0.0757,                 2.2591,                 41.728,                 144.03,                  6.165,              0.0010894,              0.0010894,              0.0010894
                     37,                  1.153,                 1.3582,                 1.0782,                 1.2542,                0.02158,                0.44444,                0.18385,                0.10873,                0.02994,                0.33333,                0.18561,                 0.0757,                 2.2591,                 41.728,                 144.03,                  6.165,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1633,                 1.5321,                 1.1671,                 1.2755,                 0.0485,                0.38889,                0.19785,                 0.0969,                0.04233,                0.33333,                0.17965,                0.02339,                 1.8623,                 13.546,                  115.9,                 3.2815,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1637,                 1.3216,                 1.0493,                 1.2498,                0.52778,                0.22222,                0.20964,                0.10111,                0.52778,                0.22222,                0.20918,                0.13963,                  1.906,                 7.5347,                 29.844,                 3.0689,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0421,                 1.3558,                  1.053,                 1.1735,                0.08815,                0.38889,                0.14095,                0.06148,                  0.875,                0.16667,                0.24464,                0.09067,                 2.0375,                 6.5511,                 27.725,                 3.3819,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0587,                  1.304,                  1.111,                 1.2341,                0.08815,                0.38889,                0.14095,                0.06148,                  0.875,                0.16667,                0.24464,                0.09067,                 2.0375,                 6.5511,                 27.725,                 3.3819,              0.0010069,              0.0010069,              0.0010069
                     42,                0.97328,                 1.3876,                 1.0728,                 1.1834,                0.31404,                0.38889,                0.29411,                0.18341,                0.31404,                0.38889,                0.27508,                0.16726,                 1.6407,                 3.3637,                 20.436,                 2.4853,             0.00099036,             0.00099036,             0.00099036
                     43,                0.97988,                  1.317,                 1.0142,                 1.1587,                0.17775,                0.38889,                0.30673,                0.15493,                0.16324,                0.33333,                0.25309,                0.16917,                 1.3853,                 2.7738,                 15.278,                 2.3537,             0.00097386,             0.00097386,             0.00097386
                     44,                0.93924,                 1.2325,                0.95226,                 1.1833,                0.23142,                0.66667,                0.32781,                0.18965,                0.21096,                0.55556,                0.28046,                0.21073,                 1.4276,                 2.5768,                 24.224,                 2.4588,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.0774,                  1.338,                  1.058,                 1.1519,                0.23142,                0.66667,                0.32781,                0.18965,                0.21096,                0.55556,                0.28046,                0.21073,                 1.4276,                 2.5768,                 24.224,                 2.4588,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0235,                 1.1967,                 1.0278,                 1.2348,                0.23617,                0.61111,                0.40283,                0.19999,                0.21994,                0.54174,                0.37764,                 0.2741,                 1.3452,                 3.1547,                 15.399,                 2.4871,             0.00092435,             0.00092435,             0.00092435
                     47,                0.94836,                 1.1738,                0.93299,                 1.1374,                0.27097,                0.38889,                0.36767,                0.17453,                      1,                0.16667,                0.25176,                0.17088,                 1.5078,                 3.7092,                 9.6459,                  2.102,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.9232,                 1.1695,                0.92401,                 1.1325,                0.38756,                0.33333,                0.32605,                0.18271,                0.33197,                0.22222,                0.20915,                0.17402,                  1.553,                 5.7153,                 6.4085,                 2.0743,             0.00089134,             0.00089134,             0.00089134
                     49,                 0.9381,                 1.1519,                0.93303,                 1.1321,                0.38756,                0.33333,                0.32605,                0.18271,                0.33197,                0.22222,                0.20915,                0.17402,                  1.553,                 5.7153,                 6.4085,                 2.0743,             0.00087484,             0.00087484,             0.00087484
                     50,                0.93663,                 1.3054,                0.95737,                 1.1259,                0.42959,                0.38889,                0.42375,                0.18405,                0.19745,                    0.5,                0.25495,                0.20582,                 1.5431,                 5.2026,                 6.9261,                 1.9599,             0.00085834,             0.00085834,             0.00085834
                     51,                0.89925,                 1.1107,                 0.8206,                 1.1002,                0.43469,                0.61111,                  0.414,                0.21804,                 0.3708,                    0.5,                0.33011,                0.22511,                 1.3574,                 4.5695,                 6.4908,                 1.9237,             0.00084184,             0.00084184,             0.00084184
                     52,                0.86167,                 1.1964,                0.88182,                 1.0829,                0.32672,                0.61111,                0.42843,                  0.241,                0.27578,                    0.5,                0.30459,                 0.1921,                 1.5786,                 3.7411,                 5.0171,                 2.1982,             0.00082533,             0.00082533,             0.00082533
                     53,                0.86565,                 1.1453,                 1.0668,                 1.1205,                0.32672,                0.61111,                0.42843,                  0.241,                0.27578,                    0.5,                0.30459,                 0.1921,                 1.5786,                 3.7411,                 5.0171,                 2.1982,             0.00080883,             0.00080883,             0.00080883
                     54,                0.94516,                 1.1853,                 1.0015,                 1.1664,                0.35603,                0.61111,                0.41097,                0.25612,                0.30948,                    0.5,                 0.2938,                0.22412,                 1.4612,                 4.0797,                 3.1571,                   1.89,             0.00079233,             0.00079233,             0.00079233
                     55,                0.89966,                 1.2451,                0.91342,                 1.1189,                0.45686,                0.27778,                0.39331,                0.26012,                0.18209,                0.55556,                0.25895,                0.21026,                 1.6706,                 5.0625,                 4.1265,                 1.8935,             0.00077582,             0.00077582,             0.00077582
                     56,                0.92162,                 1.3159,                0.96449,                 1.0978,                0.41275,                0.27778,                0.39028,                0.28794,                0.17916,                0.27778,                 0.2518,                0.19182,                 1.4631,                 3.3824,                 4.4545,                 1.7305,             0.00075932,             0.00075932,             0.00075932
                     57,                0.83722,                 1.1091,                0.85433,                 1.0769,                0.41275,                0.27778,                0.39028,                0.28794,                0.17916,                0.27778,                 0.2518,                0.19182,                 1.4631,                 3.3824,                 4.4545,                 1.7305,             0.00074282,             0.00074282,             0.00074282
                     58,                0.82361,                 1.2257,                0.82351,                 1.0806,                0.69764,                0.37646,                0.48522,                0.34998,                0.21597,                0.61111,                0.30234,                0.24094,                 1.5384,                 2.3107,                 3.5329,                 1.9061,             0.00072631,             0.00072631,             0.00072631
                     59,                0.81013,                 1.1937,                0.93009,                 1.0776,                0.59277,                0.38889,                0.40696,                0.19257,                0.70802,                0.27778,                0.33017,                0.27463,                 1.6105,                 2.9879,                 4.1561,                 1.9631,             0.00070981,             0.00070981,             0.00070981
                     60,                0.79236,                 1.0585,                0.76994,                 1.0529,                0.68479,                0.36987,                0.45871,                0.21303,                0.75817,                0.27778,                0.35637,                0.28824,                  1.574,                 2.2919,                 3.1536,                 1.8926,             0.00069331,             0.00069331,             0.00069331
                     61,                0.84224,                 1.2701,                0.84744,                  1.116,                0.68479,                0.36987,                0.45871,                0.21303,                0.75817,                0.27778,                0.35637,                0.28824,                  1.574,                 2.2919,                 3.1536,                 1.8926,              0.0006768,              0.0006768,              0.0006768
                     62,                0.84894,                 1.0524,                 0.8143,                 1.0818,                0.61932,                0.60685,                0.54113,                 0.3422,                0.48967,                0.55556,                0.49497,                0.38226,                 1.5093,                 2.0294,                 2.5086,                 1.7428,              0.0006603,              0.0006603,              0.0006603
                     63,                0.80983,                 1.0622,                0.81779,                  1.074,                0.82533,                0.66667,                0.71275,                0.54181,                0.74058,                0.61111,                0.60161,                0.49426,                  1.222,                 1.9485,                 2.2502,                 1.5169,              0.0006438,              0.0006438,              0.0006438
                     64,                0.74026,                 1.0147,                0.73975,                 1.0184,                0.84504,                0.66667,                0.69598,                0.56518,                0.79775,                0.55556,                0.55195,                0.44517,                 1.2098,                 2.2305,                  2.192,                 1.4031,             0.00062729,             0.00062729,             0.00062729
                     65,                0.82586,                 1.0855,                0.77897,                 1.0766,                0.84504,                0.66667,                0.69598,                0.56518,                0.79775,                0.55556,                0.55195,                0.44517,                 1.2098,                 2.2305,                  2.192,                 1.4031,             0.00061079,             0.00061079,             0.00061079
                     66,                0.81732,                 1.2374,                  0.786,                 1.0848,                0.88733,                0.55556,                0.67941,                0.52188,                 0.7675,                    0.5,                0.53253,                0.42667,                  1.247,                 2.3697,                 1.9516,                 1.4012,             0.00059429,             0.00059429,             0.00059429
                     67,                0.84727,                 1.2799,                0.85322,                 1.0905,                   0.73,                0.68367,                0.66422,                0.47767,                0.63243,                0.56834,                0.53355,                0.42438,                 1.2361,                 2.3682,                 1.9328,                 1.4948,             0.00057778,             0.00057778,             0.00057778
                     68,                0.75364,                 1.0058,                0.75979,                 1.0377,                0.72869,                0.55556,                0.61326,                0.37741,                0.59541,                0.49178,                0.45281,                0.36073,                 1.4119,                 2.2967,                 2.0929,                 1.5732,             0.00056128,             0.00056128,             0.00056128
                     69,                0.80454,                 0.9845,                0.82182,                 1.1331,                0.72869,                0.55556,                0.61326,                0.37741,                0.59541,                0.49178,                0.45281,                0.36073,                 1.4119,                 2.2967,                 2.0929,                 1.5732,             0.00054478,             0.00054478,             0.00054478
                     70,                0.76649,                0.98522,                0.76058,                  1.059,                0.46862,                0.66667,                0.52909,                0.32421,                0.53246,                0.55556,                0.50023,                0.40772,                 1.4873,                 2.2376,                 2.2268,                 1.7383,             0.00052827,             0.00052827,             0.00052827
                     71,                0.72796,                0.98694,                0.70348,                 1.0229,                 0.4134,                0.64487,                0.53914,                0.29763,                0.41226,                    0.5,                0.47889,                0.38431,                 1.5091,                 2.2578,                 2.2304,                 1.6881,             0.00051177,             0.00051177,             0.00051177
                     72,                0.76579,                 1.0166,                 0.7659,                 1.0834,                0.39153,                0.61111,                0.52437,                0.29645,                 0.4389,                    0.5,                0.49278,                0.38034,                 1.5037,                 2.3513,                 2.1579,                 1.5997,             0.00049527,             0.00049527,             0.00049527
                     73,                0.67828,                 1.0516,                 0.6902,                 1.0091,                0.39153,                0.61111,                0.52437,                0.29645,                 0.4389,                    0.5,                0.49278,                0.38034,                 1.5037,                 2.3513,                 2.1579,                 1.5997,             0.00047876,             0.00047876,             0.00047876
                     74,                0.72211,                 1.0046,                0.71149,                  1.037,                0.60648,                0.51365,                0.59384,                0.34801,                 0.6743,                0.38889,                0.50039,                0.38292,                 1.3842,                 2.3047,                 2.0215,                 1.4497,             0.00046226,             0.00046226,             0.00046226
                     75,                0.70561,                 1.0446,                 0.6604,                0.99811,                 0.5594,                0.60355,                0.59169,                0.37547,                 0.5594,                0.60355,                0.58482,                0.40891,                 1.2059,                 1.8774,                 1.9139,                 1.3667,             0.00044576,             0.00044576,             0.00044576
                     76,                0.71087,                0.96279,                0.66748,                 1.0233,                 0.5955,                0.55556,                0.55823,                0.33616,                 0.5955,                0.55556,                  0.552,                0.43372,                 1.0793,                 1.6243,                 1.8658,                  1.261,             0.00042925,             0.00042925,             0.00042925
