                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1322,                 1.3502,                 1.3511,                0.47856,                 0.5936,                 0.5246,                0.36063,                 1.0677,                  1.521,                 1.2773,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.1425,                   1.33,                   1.37,                0.37833,                0.62049,                0.54392,                0.36542,                 1.0895,                 1.6077,                 1.3418,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.1203,                 1.2762,                 1.3623,                0.40672,                0.73288,                0.63243,                 0.4392,                 1.0358,                 1.4066,                 1.2576,              0.0013699,              0.0013699,              0.0013699
                     38,                 1.2091,                 1.2815,                 1.4315,                0.44082,                0.70619,                0.59817,                0.38043,                 1.0966,                 1.4857,                 1.3269,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.1389,                 1.3654,                 1.4114,                0.50867,                0.56061,                0.46877,                0.31983,                 1.0884,                 1.4173,                 1.3438,              0.0013534,              0.0013534,              0.0013534
                     40,                 1.0756,                 1.2366,                 1.3186,                0.37186,                0.72014,                0.41635,                0.26851,                 1.1035,                 1.6255,                 1.3071,              0.0013452,              0.0013452,              0.0013452
                     41,                 1.1528,                 1.3041,                  1.362,                0.38716,                0.69427,                0.42115,                0.27765,                 1.1272,                 1.6029,                 1.3247,              0.0013369,              0.0013369,              0.0013369
                     42,                 1.1876,                 1.2455,                 1.3809,                 0.4341,                0.63208,                0.48705,                0.33595,                 1.0408,                 1.7067,                 1.2701,              0.0013287,              0.0013287,              0.0013287
                     43,                 1.0752,                 1.2803,                 1.3354,                0.58207,                0.62881,                0.58644,                0.42671,                0.95678,                 1.3277,                 1.2271,              0.0013204,              0.0013204,              0.0013204
                     44,                 1.0772,                 1.1887,                 1.3129,                0.38623,                0.55411,                0.41897,                0.29536,                 1.0636,                 1.7208,                 1.2729,              0.0013122,              0.0013122,              0.0013122
                     45,                 1.0794,                 1.2162,                 1.3071,                0.56256,                0.68113,                 0.6214,                0.43477,                  1.033,                 1.2258,                 1.2666,              0.0013039,              0.0013039,              0.0013039
                     46,                 1.0907,                 1.2427,                 1.3207,                0.48214,                0.62059,                0.46219,                0.29957,                  1.099,                 1.5518,                 1.3606,              0.0012957,              0.0012957,              0.0012957
                     47,                 1.0543,                 1.1953,                 1.2894,                0.54399,                0.73317,                0.62495,                0.44135,                0.98331,                 1.2164,                 1.2252,              0.0012874,              0.0012874,              0.0012874
                     48,                 1.0823,                 1.2388,                 1.3318,                0.55729,                0.68812,                0.63885,                 0.4283,                0.99538,                 1.2151,                 1.2361,              0.0012792,              0.0012792,              0.0012792
                     49,                 1.0736,                 1.1934,                 1.3507,                0.54277,                0.71305,                0.62643,                0.45142,                0.99093,                  1.207,                 1.2153,              0.0012709,              0.0012709,              0.0012709
                     50,                 1.0628,                 1.1713,                 1.3191,                0.40592,                0.66287,                0.57081,                0.40126,                0.95157,                 1.5912,                 1.2153,              0.0012627,              0.0012627,              0.0012627
                     51,                 1.0602,                 1.2038,                 1.3148,                0.42121,                0.69704,                0.57843,                0.39929,                0.98905,                 1.3487,                 1.2329,              0.0012544,              0.0012544,              0.0012544
                     52,                 1.0654,                 1.1593,                 1.2856,                0.46057,                0.77525,                0.63566,                 0.4411,                0.99267,                 1.3576,                 1.2692,              0.0012462,              0.0012462,              0.0012462
                     53,                 1.0696,                 1.1403,                  1.307,                0.55889,                0.80523,                0.68769,                0.46247,                 1.0028,                 1.1965,                 1.2374,              0.0012379,              0.0012379,              0.0012379
                     54,                 1.0376,                 1.1675,                 1.2904,                0.55633,                 0.6601,                0.59298,                0.42472,                 0.9895,                 1.2792,                 1.2235,              0.0012297,              0.0012297,              0.0012297
                     55,                 1.0243,                 1.1317,                 1.2885,                0.45394,                0.62469,                0.46955,                0.32137,                0.99163,                 1.5363,                 1.2156,              0.0012214,              0.0012214,              0.0012214
                     56,                0.95324,                 1.1381,                 1.2444,                0.62368,                0.67087,                0.69082,                0.47718,                0.99185,                 1.2782,                 1.2452,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.0697,                 1.1615,                 1.3555,                0.72917,                0.66964,                0.73376,                0.52527,                0.99749,                 1.1037,                 1.2497,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.0707,                 1.1605,                 1.3216,                0.55188,                0.74908,                0.73751,                0.53461,                0.95024,                 1.2106,                 1.2094,              0.0011967,              0.0011967,              0.0011967
                     59,                0.99795,                 1.1551,                 1.2854,                0.64027,                0.72198,                 0.7244,                0.48364,                 1.0237,                 1.1522,                 1.2638,              0.0011884,              0.0011884,              0.0011884
                     60,                0.99031,                 1.1465,                 1.2692,                0.49369,                0.64248,                0.58195,                 0.4134,                0.91503,                 1.5311,                 1.1957,              0.0011802,              0.0011802,              0.0011802
                     61,                0.97339,                 1.0848,                 1.2735,                0.39086,                0.60991,                0.42576,                0.29522,                0.98047,                 1.5867,                 1.2395,              0.0011719,              0.0011719,              0.0011719
                     62,                0.98524,                 1.0523,                 1.2549,                0.47303,                0.63187,                0.61506,                0.45102,                0.96119,                 1.6285,                 1.2251,              0.0011636,              0.0011636,              0.0011636
                     63,                0.98664,                 1.0398,                 1.2648,                0.62481,                0.66933,                0.67279,                0.46175,                 1.0095,                 1.2322,                 1.2447,              0.0011554,              0.0011554,              0.0011554
                     64,                 1.0153,                 1.1046,                 1.3015,                0.66292,                0.77186,                0.73741,                0.54754,                 0.8887,                 1.0297,                 1.1946,              0.0011471,              0.0011471,              0.0011471
                     65,                0.92965,                 1.0033,                 1.2317,                0.64654,                0.65271,                 0.7352,                0.53388,                0.96454,                 1.1284,                 1.2309,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.0319,                 1.0351,                 1.2746,                0.59193,                0.69273,                0.65203,                0.48214,                0.91193,                 1.2301,                 1.1975,              0.0011306,              0.0011306,              0.0011306
                     67,                0.98239,                 1.0988,                 1.2696,                0.48853,                0.62592,                0.52234,                0.36842,                 1.0054,                 1.5528,                 1.2547,              0.0011224,              0.0011224,              0.0011224
                     68,                0.96859,                 1.0017,                 1.2228,                0.58771,                0.69311,                0.65929,                 0.4579,                0.99824,                 1.2051,                 1.2585,              0.0011141,              0.0011141,              0.0011141
                     69,                 0.9246,                0.94768,                 1.2081,                0.62588,                0.62223,                0.63777,                0.42833,                 1.0504,                 1.2224,                 1.2994,              0.0011059,              0.0011059,              0.0011059
                     70,                 1.0121,                 1.0219,                  1.313,                0.61075,                0.63732,                0.60673,                0.43413,                0.96085,                 1.6254,                 1.2201,              0.0010976,              0.0010976,              0.0010976
                     71,                0.93399,                0.98932,                 1.2201,                0.51994,                0.52686,                0.51433,                0.37112,                0.98841,                 1.5845,                 1.2278,              0.0010894,              0.0010894,              0.0010894
                     72,                0.96699,                0.98913,                 1.2519,                0.65386,                0.74784,                0.76829,                0.52305,                 1.0498,                 1.1189,                 1.2771,              0.0010811,              0.0010811,              0.0010811
                     73,                0.92637,                0.98102,                 1.2292,                0.55642,                0.73183,                0.66303,                0.47901,                 0.9267,                 1.3646,                 1.1833,              0.0010729,              0.0010729,              0.0010729
                     74,                  1.004,                 1.0326,                 1.2975,                0.63542,                0.75585,                0.73463,                0.55223,                0.86414,                 1.0369,                 1.1377,              0.0010646,              0.0010646,              0.0010646
                     75,                0.90866,                0.92338,                 1.2004,                0.57781,                  0.758,                0.74169,                0.54485,                0.88545,                 1.3426,                 1.1451,              0.0010564,              0.0010564,              0.0010564
