                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0684,                0.95499,                 1.1257,                0.67611,                0.65174,                0.66621,                0.44792,                 1.3327,                 1.2244,                 1.2563,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1076,                0.92508,                  1.135,                 0.6699,                0.64071,                0.68364,                0.42889,                 1.3126,                   1.17,                  1.229,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0698,                0.91415,                 1.1076,                0.65499,                0.65737,                0.67365,                0.44643,                 1.2979,                 1.1921,                 1.2009,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0612,                0.92254,                 1.1179,                 0.6047,                0.69862,                0.68736,                 0.4497,                 1.3086,                 1.1918,                 1.2152,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0754,                0.92746,                 1.1189,                0.70463,                0.67567,                0.72454,                0.47249,                 1.3172,                 1.0707,                 1.2136,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0672,                 0.9275,                 1.1393,                0.68575,                0.67831,                0.71671,                0.47405,                 1.2766,                   1.11,                 1.1958,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0549,                0.89894,                 1.1276,                0.68491,                0.71614,                0.74083,                0.48473,                 1.2687,                  1.053,                 1.1714,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0464,                0.87195,                 1.1131,                0.72239,                 0.6078,                0.68855,                0.46509,                 1.2637,                 1.1608,                 1.1979,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0387,                0.87163,                 1.0993,                0.69883,                0.66332,                0.70838,                0.47098,                 1.2884,                 1.1157,                 1.1968,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0491,                0.89547,                 1.1149,                0.70585,                0.65573,                0.70948,                0.47344,                 1.2882,                 1.0851,                 1.1938,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.0561,                0.89533,                 1.1144,                0.72505,                0.65792,                0.73153,                0.49685,                 1.2669,                 1.0668,                 1.1874,             0.00094085,             0.00094085,             0.00094085
                     46,                   1.05,                0.88171,                 1.1118,                0.75873,                0.67596,                0.72308,                0.47866,                 1.2337,                 1.0502,                 1.1839,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0366,                0.85721,                 1.1067,                0.69374,                0.65167,                0.70267,                0.47358,                 1.2715,                 1.0922,                 1.1908,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0408,                0.87451,                 1.0893,                0.66414,                0.67152,                0.71383,                   0.48,                 1.2816,                  1.061,                 1.1852,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0249,                0.85505,                 1.0937,                0.72023,                0.66686,                0.72967,                0.48755,                 1.2552,                 1.0652,                 1.1896,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0203,                0.83972,                 1.1053,                0.67702,                0.70499,                0.74268,                0.49581,                 1.2197,                 1.0341,                 1.1641,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0104,                0.84113,                 1.0926,                0.73902,                0.67107,                0.73143,                0.48517,                 1.2639,                 1.0575,                 1.1912,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0175,                0.83156,                 1.0937,                0.76235,                0.63866,                0.73683,                0.49466,                 1.2394,                 1.0538,                 1.1752,             0.00082533,             0.00082533,             0.00082533
                     53,                0.97427,                0.79499,                 1.0815,                0.71993,                0.66527,                 0.7262,                0.49196,                 1.2427,                 1.0817,                 1.1656,             0.00080883,             0.00080883,             0.00080883
                     54,                0.99147,                0.83258,                 1.0803,                0.66716,                0.65674,                0.70159,                0.47185,                 1.2593,                 1.1293,                 1.1872,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0062,                0.82256,                 1.0886,                0.73197,                0.67534,                0.74332,                0.51105,                 1.2385,                 1.0211,                 1.1693,             0.00077582,             0.00077582,             0.00077582
                     56,                0.98124,                0.79073,                 1.0724,                0.71877,                0.70781,                0.74073,                0.49845,                 1.2301,                 1.0348,                 1.1682,             0.00075932,             0.00075932,             0.00075932
                     57,                0.99286,                0.78457,                 1.0808,                0.68068,                0.65774,                0.70352,                0.46046,                 1.2723,                 1.1009,                 1.1917,             0.00074282,             0.00074282,             0.00074282
                     58,                0.98101,                  0.794,                 1.0795,                0.71484,                0.66633,                0.73601,                0.50157,                 1.2341,                 1.0404,                 1.1777,             0.00072631,             0.00072631,             0.00072631
                     59,                0.98631,                0.77992,                 1.0825,                0.68235,                0.70562,                 0.7449,                 0.5039,                  1.232,                 1.0254,                  1.174,             0.00070981,             0.00070981,             0.00070981
                     60,                0.96923,                0.79323,                 1.0853,                0.71407,                0.67534,                0.73903,                0.50685,                 1.2314,                 1.0278,                 1.1719,             0.00069331,             0.00069331,             0.00069331
                     61,                0.98692,                0.79039,                 1.0716,                0.71602,                0.65763,                0.73511,                0.49828,                 1.2452,                 1.0226,                 1.1645,              0.0006768,              0.0006768,              0.0006768
                     62,                0.97067,                 0.7669,                 1.0792,                0.71519,                0.68151,                 0.7307,                0.49391,                 1.2518,                 1.0835,                 1.1787,              0.0006603,              0.0006603,              0.0006603
                     63,                0.99858,                0.79735,                 1.0919,                0.73283,                0.65942,                0.72725,                0.49193,                 1.2424,                 1.0374,                 1.1793,              0.0006438,              0.0006438,              0.0006438
                     64,                0.97485,                0.76766,                 1.0756,                0.72287,                0.69099,                0.72444,                0.50096,                 1.2517,                 1.0461,                  1.184,             0.00062729,             0.00062729,             0.00062729
                     65,                0.97096,                0.76294,                 1.0744,                0.68829,                0.69913,                0.73379,                0.49852,                 1.2443,                 1.0338,                 1.1832,             0.00061079,             0.00061079,             0.00061079
                     66,                0.92565,                0.74784,                 1.0604,                0.71454,                0.67901,                0.73036,                0.49918,                  1.232,                 1.0675,                 1.1803,             0.00059429,             0.00059429,             0.00059429
                     67,                0.96174,                0.74191,                 1.0759,                 0.6966,                0.69526,                0.73026,                0.48668,                 1.2519,                 1.0597,                 1.1945,             0.00057778,             0.00057778,             0.00057778
                     68,                0.95047,                0.74142,                 1.0651,                0.66853,                0.68078,                0.72107,                0.49252,                 1.2328,                  1.032,                 1.1757,             0.00056128,             0.00056128,             0.00056128
                     69,                0.93852,                0.73921,                 1.0637,                0.73262,                0.66689,                0.73275,                0.49103,                 1.2219,                 1.0735,                 1.1618,             0.00054478,             0.00054478,             0.00054478
                     70,                0.95426,                0.75035,                 1.0681,                 0.6872,                0.69267,                0.71314,                0.48324,                 1.2555,                 1.0682,                 1.1836,             0.00052827,             0.00052827,             0.00052827
                     71,                0.93028,                0.72191,                 1.0559,                0.79309,                0.63202,                0.74265,                0.50042,                 1.2442,                  1.021,                 1.1792,             0.00051177,             0.00051177,             0.00051177
                     72,                0.94891,                0.74289,                 1.0608,                0.73706,                0.66453,                0.74312,                0.50772,                 1.2215,                 1.0411,                 1.1648,             0.00049527,             0.00049527,             0.00049527
                     73,                0.89745,                0.70029,                 1.0517,                0.70203,                0.68922,                0.74012,                0.50977,                 1.1886,                 1.0461,                 1.1469,             0.00047876,             0.00047876,             0.00047876
                     74,                0.91725,                0.71958,                 1.0674,                0.74664,                0.67189,                0.74042,                0.50592,                 1.2037,                  1.046,                 1.1487,             0.00046226,             0.00046226,             0.00046226
                     75,                0.91795,                0.71504,                 1.0428,                0.70053,                0.72731,                0.74331,                0.50452,                 1.2275,                 1.0171,                 1.1659,             0.00044576,             0.00044576,             0.00044576
                     76,                0.91105,                0.68983,                 1.0472,                0.72859,                0.67629,                0.73642,                0.49828,                 1.2298,                 1.0322,                 1.1731,             0.00042925,             0.00042925,             0.00042925
                     77,                0.90212,                0.69718,                 1.0447,                0.70176,                0.68247,                0.72757,                0.49779,                  1.235,                 1.0509,                 1.1783,             0.00041275,             0.00041275,             0.00041275
                     78,                 0.8931,                 0.6821,                 1.0377,                0.67915,                0.66481,                0.71515,                0.48858,                 1.2343,                 1.0813,                 1.1768,             0.00039625,             0.00039625,             0.00039625
                     79,                0.90235,                0.69114,                  1.042,                0.70026,                0.67936,                0.71773,                0.49045,                 1.2404,                  1.092,                 1.1829,             0.00037974,             0.00037974,             0.00037974
                     80,                0.90229,                 0.6865,                 1.0488,                0.70714,                0.66566,                0.70986,                0.49059,                 1.2212,                 1.1083,                 1.1704,             0.00036324,             0.00036324,             0.00036324
                     81,                0.90537,                0.69577,                 1.0507,                0.68867,                0.69907,                 0.7461,                0.51013,                 1.1971,                 1.0102,                 1.1567,             0.00034674,             0.00034674,             0.00034674
                     82,                0.89157,                0.67267,                 1.0424,                0.74457,                0.68768,                 0.7457,                0.51356,                 1.1831,                 1.0226,                 1.1508,             0.00033023,             0.00033023,             0.00033023
                     83,                0.86949,                 0.6777,                 1.0342,                 0.6845,                0.71346,                0.72786,                0.49939,                 1.2081,                 1.0347,                 1.1628,             0.00031373,             0.00031373,             0.00031373
